CA_on,p,py,w,h,t
1,0.0001,0,6,9,159836
0,0.0001,0,6,9,515.915
1,0.0001,0,6,9,60051.6
0,0.0001,0,6,9,1284.85
1,0.0001,0,6,9,192835
0,0.0001,0,6,9,319.262
1,0.0001,0,6,9,105879
0,0.0001,0,6,9,1080.22
1,0.0001,0,6,9,122314
0,0.0001,0,6,9,1013.9
1,0.0001,0,6,9,192219
0,0.0001,0,6,9,1016.12
1,0.0001,0,6,9,43210.2
0,0.0001,0,6,9,812.57
1,0.0001,0,6,9,10825.9
0,0.0001,0,6,9,789.819
1,0.0001,0,6,9,54121.2
0,0.0001,0,6,9,1665.94
1,0.0001,0,6,9,28915.7
0,0.0001,0,6,9,1659.89
1,0.0001,0,6,9,178956
0,0.0001,0,6,9,1371.06
1,0.0001,0,6,9,45215.2
0,0.0001,0,6,9,1198.85
1,0.0001,0,6,9,21848
0,0.0001,0,6,9,94.3645
1,0.0001,0,6,9,91033.7
0,0.0001,0,6,9,1741.16
1,0.0001,0,6,9,37715.7
0,0.0001,0,6,9,805.782
1,0.0001,0,6,9,19553.3
0,0.0001,0,6,9,1243.25
1,0.0001,0,6,9,44931.1
0,0.0001,0,6,9,860.082
1,0.0001,0,6,9,227812
0,0.0001,0,6,9,1065.55
1,0.0001,0,6,9,27711.9
0,0.0001,0,6,9,1357.97
1,0.0001,0,6,9,171554
0,0.0001,0,6,9,1403.23
1,0.0001,0,6,9,281534
0,0.0001,0,6,9,884.597
1,0.0001,0,6,9,136230
0,0.0001,0,6,9,1131.23
1,0.0001,0,6,9,17777.5
0,0.0001,0,6,9,1101.88
1,0.0001,0,6,9,64550.1
0,0.0001,0,6,9,586.242
1,0.0001,0,6,9,175068
0,0.0001,0,6,9,937.265
1,0.0001,0,6,9,49287.3
0,0.0001,0,6,9,1542.37
1,0.0001,0,6,9,10830.9
0,0.0001,0,6,9,506.752
1,0.0001,0,6,9,90689.3
0,0.0001,0,6,9,374.611
1,0.0001,0,6,9,40977.4
0,0.0001,0,6,9,1524.17
1,0.0001,0,6,9,287677
0,0.0001,0,6,9,1294.63
1,0.0001,0,6,9,12368.5
0,0.0001,0,6,9,1334.76
1,0.0001,0,6,9,58377.5
0,0.0001,0,6,9,1109.81
1,0.0001,0,6,9,135388
0,0.0001,0,6,9,742.369
1,0.0001,0,6,9,60862.4
0,0.0001,0,6,9,395.628
1,0.0001,0,6,9,6785.88
0,0.0001,0,6,9,1750.65
1,0.0001,0,6,9,57212.5
0,0.0001,0,6,9,1085.85
1,0.0001,0,6,9,189481
0,0.0001,0,6,9,1141.87
1,0.0001,0,6,9,66770.8
0,0.0001,0,6,9,448.758
1,0.0001,0,6,9,34328.9
0,0.0001,0,6,9,657.541
1,0.0001,0,6,9,58422
0,0.0001,0,6,9,711.939
1,0.0001,0,6,9,153554
0,0.0001,0,6,9,1638.34
1,0.0001,0,6,9,51771.3
0,0.0001,0,6,9,488.518
1,0.0001,0,6,9,8010.53
0,0.0001,0,6,9,934.985
1,0.0001,0,6,9,86135.5
0,0.0001,0,6,9,858.082
1,0.0001,0,6,9,4595.77
0,0.0001,0,6,9,915.81
1,0.0001,0,6,9,63213.7
0,0.0001,0,6,9,1075.02
1,0.0001,0,6,9,1725.86
0,0.0001,0,6,9,1063.31
1,0.0001,0,6,9,58345.2
0,0.0001,0,6,9,1080.14
1,0.0001,0,6,9,85475.2
0,0.0001,0,6,9,1867.06
1,0.0001,0,6,9,199711
0,0.0001,0,6,9,1277.48
1,0.0001,0,6,9,288417
0,0.0001,0,6,9,780.972
1,0.0001,0,6,9,54877.7
0,0.0001,0,6,9,1500.98
1,0.0001,0,6,9,31727.5
0,0.0001,0,6,9,869.715
1,0.0001,0,6,9,60897.7
0,0.0001,0,6,9,201.608
1,0.0001,0,6,9,214562
0,0.0001,0,6,9,814.626
1,0.0001,0,6,9,27336.1
0,0.0001,0,6,9,1156.74
1,0.0001,0,6,9,16572
0,0.0001,0,6,9,1164.41
1,0.0001,0,6,9,31290.7
0,0.0001,0,6,9,431.25
1,0.0001,0,6,9,32147.1
0,0.0001,0,6,9,1125.65
1,0.0001,0,6,9,139.269
0,0.0001,0,6,9,790.014
1,0.0001,0,6,9,147789
0,0.0001,0,6,9,999.749
1,0.0001,0,6,9,31482.7
0,0.0001,0,6,9,1061.39
1,0.0001,0,6,9,7539.32
0,0.0001,0,6,9,928.506
1,0.0001,0,6,9,106250
0,0.0001,0,6,9,1353.21
1,0.0001,0,6,9,10721.1
0,0.0001,0,6,9,893.026
1,0.0001,0,6,9,6361.73
0,0.0001,0,6,9,1024.5
1,0.0001,0,6,9,25983.3
0,0.0001,0,6,9,1729.28
1,0.0001,0,6,9,14086.7
0,0.0001,0,6,9,750.525
1,0.0001,0,6,9,7881.5
0,0.0001,0,6,9,1156.57
1,0.0001,0,6,9,1711.4
0,0.0001,0,6,9,2497.48
1,0.0001,0,6,9,23306.5
0,0.0001,0,6,9,1365.08
1,0.0001,0,6,9,103704
0,0.0001,0,6,9,962.657
1,0.0001,0,6,9,62672.3
0,0.0001,0,6,9,1089.3
1,0.0001,0,6,9,673.576
0,0.0001,0,6,9,1432.49
1,0.0001,0,6,9,61513.8
0,0.0001,0,6,9,1856.8
1,0.0001,0,6,9,108705
0,0.0001,0,6,9,491.742
1,0.0001,0,6,9,29231.6
0,0.0001,0,6,9,860.231
1,0.0001,0,6,9,36128.8
0,0.0001,0,6,9,596.699
1,0.0001,0,6,9,19668.3
0,0.0001,0,6,9,1006.66
1,0.0001,0,6,9,13279.3
0,0.0001,0,6,9,814.138
1,0.0001,0,6,9,43808.5
0,0.0001,0,6,9,2051.98
1,0.0001,0,6,9,126523
0,0.0001,0,6,9,1249.1
1,0.0001,0,6,9,46557.4
0,0.0001,0,6,9,1064.58
1,0.0001,0,6,9,204827
0,0.0001,0,6,9,966.558
1,0.0001,0,6,9,24443.2
0,0.0001,0,6,9,1472.74
1,0.0001,0,6,9,262138
0,0.0001,0,6,9,597.62
1,0.0001,0,6,9,38424.9
0,0.0001,0,6,9,1462.64
1,0.0001,0,6,9,139806
0,0.0001,0,6,9,1954.81
1,0.0001,0,6,9,79830.5
0,0.0001,0,6,9,797.923
1,0.0001,0,6,9,111033
0,0.0001,0,6,9,1176.91
1,0.0001,0,6,9,1711.31
0,0.0001,0,6,9,1552.51
1,0.0001,0,6,9,7935.64
0,0.0001,0,6,9,942.15
1,0.0001,0,6,9,42557.4
0,0.0001,0,6,9,590.38
1,0.0001,0,6,9,43675.6
0,0.0001,0,6,9,973.933
1,0.0001,0,6,9,79125.3
0,0.0001,0,6,9,1034.7
1,0.0001,0,6,9,4415.09
0,0.0001,0,6,9,560.989
1,0.0001,0,6,9,8354.43
0,0.0001,0,6,9,457.032
1,0.0001,0,6,9,61381.3
0,0.0001,0,6,9,1428.69
1,0.0001,0,6,9,8388.39
0,0.0001,0,6,9,1215.28
1,0.0001,0,6,9,82254.5
0,0.0001,0,6,9,1338.23
1,0.0001,0,6,9,93393.7
0,0.0001,0,6,9,1493.06
1,0.0001,0,6,9,138566
0,0.0001,0,6,9,1714.46
1,0.0001,0,6,9,47259.4
0,0.0001,0,6,9,1167.02
1,0.0001,0,6,9,11372.5
0,0.0001,0,6,9,1876.22
1,0.0001,0,6,9,20494.2
0,0.0001,0,6,9,1260.99
1,0.0001,0,6,9,7510.61
0,0.0001,0,6,9,490.601
1,0.0001,0,6,9,151364
0,0.0001,0,6,9,485.992
1,0.0001,0,6,9,21591.1
0,0.0001,0,6,9,612.91
1,0.0001,0,6,9,62264.9
0,0.0001,0,6,9,715.309
1,0.0001,0,6,9,45319.4
0,0.0001,0,6,9,936.496
1,0.0001,0,6,9,213386
0,0.0001,0,6,9,553.209
1,0.0001,0,6,9,120427
0,0.0001,0,6,9,578.631
1,0.0001,0,6,9,34072.4
0,0.0001,0,6,9,1511.39
1,0.0001,0,6,9,45607.5
0,0.0001,0,6,9,756.619
1,0.0001,0,6,9,38856.2
0,0.0001,0,6,9,258.234
1,0.0001,0,6,9,26188.6
0,0.0001,0,6,9,762.082
1,0.0001,0,6,9,25476.6
0,0.0001,0,6,9,1319.72
1,0.0001,0,6,9,92395
0,0.0001,0,6,9,1632.83
1,0.0001,0,6,9,74163.8
0,0.0001,0,6,9,1372.03
1,0.0001,0,6,9,2588.29
0,0.0001,0,6,9,784.549
1,0.0001,0,6,9,73243.3
0,0.0001,0,6,9,726.488
1,0.0001,0,6,9,122198
0,0.0001,0,6,9,1990.8
1,0.0001,0,6,9,40767.4
0,0.0001,0,6,9,1372.55
1,0.0001,0,6,9,36419.1
0,0.0001,0,6,9,1244.94
1,0.0001,0,6,9,119101
0,0.0001,0,6,9,963.575
1,0.0001,0,6,9,82469.2
0,0.0001,0,6,9,76.8238
1,0.0001,0,6,9,52791.5
0,0.0001,0,6,9,1532.65
1,0.0001,0,6,9,73754.3
0,0.0001,0,6,9,982.362
1,0.0001,0,6,9,77701.2
0,0.0001,0,6,9,780.912
1,0.0001,0,6,9,26353.6
0,0.0001,0,6,9,529.435
1,0.0001,0,6,9,86126.2
0,0.0001,0,6,9,844.692
1,0.0001,0,6,9,108986
0,0.0001,0,6,9,1040.94
1,0.0001,0,6,9,4813.88
0,0.0001,0,6,9,1203.43
1,0.0001,0,6,9,27987.3
0,0.0001,0,6,9,1396.45
1,0.0001,0,6,9,8043.56
0,0.0001,0,6,9,446.146
1,0.0001,0,6,9,38211.8
0,0.0001,0,6,9,1175.23
1,0.0001,0,6,9,30656.8
0,0.0001,0,6,9,1120.4
1,0.0001,0,6,9,43020.8
0,0.0001,0,6,9,640.612
1,0.0001,0,6,9,6283.25
0,0.0001,0,6,9,894.932
1,0.0001,0,6,9,10413
0,0.0001,0,6,9,663.846
1,0.0001,0,6,9,321310
0,0.0001,0,6,9,1131.18
1,0.0001,0,6,9,102357
0,0.0001,0,6,9,1370.92
1,0.0001,0,6,9,49261.2
0,0.0001,0,6,9,539.598
1,0.0001,0,6,9,25511.3
0,0.0001,0,6,9,399.066
1,0.0001,0,6,9,98240.3
0,0.0001,0,6,9,1808.98
1,0.0001,0,6,9,17056.9
0,0.0001,0,6,9,1139.91
1,0.0001,0,6,9,51895.6
0,0.0001,0,6,9,1496.07
1,0.0001,0,6,9,54799.6
0,0.0001,0,6,9,559.498
1,0.0001,0,6,9,23407.9
0,0.0001,0,6,9,2450.97
1,0.0001,0,6,9,36778.3
0,0.0001,0,6,9,966.272
1,0.0001,0,6,9,257362
0,0.0001,0,6,9,397.249
1,0.0001,0,6,9,67339.8
0,0.0001,0,6,9,940.226
1,0.0001,0,6,9,11207.9
0,0.0001,0,6,9,1297.79
1,0.0001,0,6,9,186757
0,0.0001,0,6,9,537.363
1,0.0001,0,6,9,180465
0,0.0001,0,6,9,387.961
1,0.0001,0,6,9,48664.4
0,0.0001,0,6,9,1272.54
1,0.0001,0,6,9,3577.87
